"seccion_censal","nac_87","nac_88","nac_89","nac_90","nac_91","nac_92","nac_93","nac_94","nac_95","nac_96","nac_97","nac_98","nac_99","nac_00","nac_01","nac_02","nac_03","nac_04","nac_05","nac_06","nac_07","nac_08","nac_09","nac_10","nac_11","nac_12","nac_13","nac_14","nac_15","nac_16","nac_17"
"76001100000000050503","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0"
"76001100000000170302","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","1","1","0","0","1","0","0","0","0","0","0","1","0"
"76001100000000050903","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76001100000000050201","1","0","0","1","2","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"76001100000000190101","1","0","0","3","1","1","0","2","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"76001100000000193702","1","0","1","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"76001100000000020904","1","0","1","4","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"76001100000000021501","1","0","2","0","1","1","1","1","2","1","1","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","1","1"
"76001100000000171606","1","0","3","1","0","1","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","2","1","3","0","1","0","0","1","0"
"76001100000000190102","1","0","3","3","0","1","0","1","3","0","0","1","3","0","1","1","0","0","2","0","1","1","0","1","1","1","0","0","1","0","0"
"76001100000000022101","1","1","0","0","0","2","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"76001100000000192602","1","1","1","1","1","1","1","0","0","0","2","2","0","0","0","1","2","1","1","3","1","1","0","1","0","0","1","1","0","0","0"
"76001100000000194003","1","1","1","2","0","0","1","0","0","4","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0"
